created_at,tweet_id,text_clean,favorite_count,retweet_count,hashtags,url
2020-05-30 17:01:18+00:00,1266776712584495104,Canned fish just got a fresh (+ delicious!) makeover. 🐟 https://t.co/14PGmArgi6,21,10,,"[{'url': 'https://t.co/14PGmArgi6', 'expanded_url': 'http://ow.ly/F5vI30qK63C', 'display_url': 'ow.ly/F5vI30qK63C', 'indices': [56, 79]}]"
2020-05-30 15:01:33+00:00,1266746576250208258,We got the Do's &amp; Don'ts of Dermaplaning from the board-certified dermatologists: https://t.co/eWFkgfKb3S,8,3,,"[{'url': 'https://t.co/eWFkgfKb3S', 'expanded_url': 'http://ow.ly/WDDt30qJJbg', 'display_url': 'ow.ly/WDDt30qJJbg', 'indices': [86, 109]}]"
2020-05-30 13:01:21+00:00,1266716328716615681,Our experts give coconut sugar the full shake-down. 🥥 https://t.co/0Si7eqUq6S,14,4,,"[{'url': 'https://t.co/0Si7eqUq6S', 'expanded_url': 'http://ow.ly/VbhM30qJJrT', 'display_url': 'ow.ly/VbhM30qJJrT', 'indices': [54, 77]}]"
2020-05-30 12:00:59+00:00,1266701135139700738,Holistic health + wellness coach @AlexSMcCormick does a better-for-you spin on this social media sensation. 🥞 Bonus… https://t.co/h5LYj4114s,4,2,,"[{'url': 'https://t.co/h5LYj4114s', 'expanded_url': 'https://twitter.com/i/web/status/1266701135139700738', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-05-30 11:00:45+00:00,1266685978535747589,This 3-ingredient unclogger can be used on any kitchen or bathroom drain. 🛁 https://t.co/KkMmbtmuXa,12,2,,"[{'url': 'https://t.co/KkMmbtmuXa', 'expanded_url': 'http://ow.ly/TWTY30qJIRH', 'display_url': 'ow.ly/TWTY30qJIRH', 'indices': [76, 99]}]"
2020-05-30 09:00:41+00:00,1266655760743903235,Let's get *crystal clear* on this natural deodorant alternative. 💎 https://t.co/Wfljs1TigT,6,3,,"[{'url': 'https://t.co/Wfljs1TigT', 'expanded_url': 'http://ow.ly/UdD430qJJsT', 'display_url': 'ow.ly/UdD430qJJsT', 'indices': [67, 90]}]"
2020-05-30 07:00:28+00:00,1266625508143509505,"Regardless of what spirituality looks like to you, believing in something bigger than yourself seems to help improv… https://t.co/TdkMqT8e62",24,3,,"[{'url': 'https://t.co/TdkMqT8e62', 'expanded_url': 'https://twitter.com/i/web/status/1266625508143509505', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-05-30 05:00:06+00:00,1266595217521684486,Speaker + author @lauradayintuit has spent decades helping people use their intuitive abilities to emerge from diff… https://t.co/qgwtOQfyfm,8,2,,"[{'url': 'https://t.co/qgwtOQfyfm', 'expanded_url': 'https://twitter.com/i/web/status/1266595217521684486', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-05-30 03:00:08+00:00,1266565026191757312,"To find out more about this mysterious and fascinating type of dream, we got in touch with lucid dream expert,… https://t.co/8wJE2AMPav",11,5,,"[{'url': 'https://t.co/8wJE2AMPav', 'expanded_url': 'https://twitter.com/i/web/status/1266565026191757312', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]"
2020-05-30 01:00:22+00:00,1266534884656451592,We got run-down on Retin-A for skincare. ✨ https://t.co/ptWDKO3dnr,4,1,,"[{'url': 'https://t.co/ptWDKO3dnr', 'expanded_url': 'http://ow.ly/D3tz30qKpZc', 'display_url': 'ow.ly/D3tz30qKpZc', 'indices': [43, 66]}]"
2020-05-29 23:00:42+00:00,1266504770908545026,"These tips for creating an empath sanctuary anytime, anywhere: https://t.co/u3iWvmgO14",24,10,,"[{'url': 'https://t.co/u3iWvmgO14', 'expanded_url': 'http://ow.ly/R8Zj30qKImz', 'display_url': 'ow.ly/R8Zj30qKImz', 'indices': [63, 86]}]"
2020-05-29 21:00:51+00:00,1266474611367194627,This new research conducted by King's College London has us going *nuts* during snack time. 🌰 https://t.co/ogneIw9208,12,4,,"[{'url': 'https://t.co/ogneIw9208', 'expanded_url': 'http://ow.ly/7lQh30qKIg1', 'display_url': 'ow.ly/7lQh30qKIg1', 'indices': [94, 117]}]"
2020-05-29 19:01:31+00:00,1266444579601072131,How do we redesign our lives in a way that makes us stronger + more resilient for the luxury of being able to work… https://t.co/I3OHnDfOCj,12,6,,"[{'url': 'https://t.co/I3OHnDfOCj', 'expanded_url': 'https://twitter.com/i/web/status/1266444579601072131', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2020-05-29 17:02:02+00:00,1266414511227056136,We’re thrilled to announce the launch of these three new online programs taught by 23 world-renowned experts in fun… https://t.co/S3bDpq2VfS,3,1,,"[{'url': 'https://t.co/S3bDpq2VfS', 'expanded_url': 'https://twitter.com/i/web/status/1266414511227056136', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-05-29 16:02:29+00:00,1266399524089626630,"""I've tried nearly everything under the sun in an attempt to fix my skin issues: lotions and potions, facials, topi… https://t.co/U0PV84HPIM",10,4,,"[{'url': 'https://t.co/U0PV84HPIM', 'expanded_url': 'https://twitter.com/i/web/status/1266399524089626630', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
